==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
17.7633s  5.7920us                    -               -         -         -         -  51.258KB  8.4398GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7671s  2.1120us                    -               -         -         -         -  51.258KB  23.145GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7671s  5.7600us                    -               -         -         -         -  51.258KB  8.4867GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7671s  6.4320us                    -               -         -         -         -  51.258KB  7.6000GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7678s  1.2160us            (206 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13667]
17.7866s  8.3200us                    -               -         -         -         -  75.000KB  8.5968GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7867s  3.4880us                    -               -         -         -         -  37.500KB  10.253GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7869s  2.1760us                    -               -         -         -         -  102.52KB  44.929GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7869s  9.7280us                    -               -         -         -         -  102.52KB  10.050GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7871s  2.1120us                    -               -         -         -         -  102.52KB  46.291GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7871s  9.7600us                    -               -         -         -         -  102.52KB  10.017GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7871s  10.432us                    -               -         -         -         -  102.52KB  9.3718GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7873s  2.1440us                    -               -         -         -         -  26.266KB  11.683GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7873s  3.8080us                    -               -         -         -         -  26.266KB  6.5780GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7875s  2.1440us                    -               -         -         -         -  26.266KB  11.683GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7875s  3.9680us                    -               -         -         -         -  26.266KB  6.3127GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7875s  4.5440us                    -               -         -         -         -  26.266KB  5.5125GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
